Port,Size_MB,Latency_ms
5555,0.0495625,0.086861
5555,0.0496235,0.083826
5555,0.0496845,0.098493
5555,0.0497456,0.090979
5555,0.0498066,0.078947
5555,0.0498676,0.109511
5555,0.0499287,0.098092
5555,0.0499897,0.089386
5555,0.0500507,0.088184
5555,0.0501118,0.203409
5555,0.0501728,0.095197
5555,0.0502338,0.099966
5555,0.0502949,0.082583
5555,0.0503559,0.085429
5555,0.0504169,0.082784
5555,0.050478,0.088685
5555,0.050539,0.082373
5555,0.0506001,0.093264
5555,0.0506611,0.128539
5555,0.0507221,0.127673
5555,0.0507832,0.113098
5555,0.0508442,0.096626
5555,0.0509052,0.106198
5555,0.0509663,0.103162
5555,0.0510273,0.109273
5555,0.0510883,0.09863
5555,0.0511494,0.08605
5555,0.0512104,0.08576
5555,0.0512714,0.073407
5555,0.0513325,0.068958
5555,0.0513935,0.074849
5555,0.0514545,0.089677
5555,0.0515156,0.088975
5555,0.0515766,0.101635
5555,0.0516376,0.086221
5555,0.0516987,0.108142
5555,0.0517597,0.106795
5555,0.0518208,0.10739
5555,0.0518818,0.098082
5555,0.0519428,0.106275
5555,0.0520039,0.094803
5555,0.0520649,0.090068
5555,0.0521259,0.09148
5555,0.052187,0.093353
5555,0.052248,0.094355
5555,0.052309,0.082974
5555,0.0523701,0.129217
5555,0.0524311,0.089513
5555,0.0524921,0.255276
5555,0.0525532,0.09317
5555,0.0526142,0.096086
5555,0.0526752,0.091921
5555,0.0527363,0.087943
5555,0.0527973,0.089717
5555,0.0528584,0.094936
5555,0.0529194,0.100056
5555,0.0529804,0.096045
5555,0.0530415,0.084908
5555,0.0531025,0.092271
5555,0.0531635,0.102477
5555,0.0532246,0.097448
5555,0.0532856,0.09341
5555,0.0533466,0.097482
5555,0.0534077,0.092813
5555,0.0534687,0.099662
5555,0.0535297,0.09697
5555,0.0535908,0.102898
5555,0.0536518,0.103893
5555,0.0537128,0.08085
5555,0.0537739,0.087292
5555,0.0538349,0.094916
5555,0.053896,0.110161
5555,0.053957,0.094085
5555,0.054018,0.087983
5555,0.0540791,0.094656
5555,0.0541401,0.109053
5555,0.0542011,0.12542
5555,0.0542622,0.115305
5555,0.0543232,0.157864
5555,0.0543842,0.096329
5555,0.0544453,0.106247
5555,0.0545063,0.096166
5555,0.0545673,0.090689
5555,0.0546284,0.080771
5555,0.0546894,0.084798
5555,0.0547504,0.084588
5555,0.0548115,0.094286
5555,0.0548725,0.088064
5555,0.0549335,0.089527
5555,0.0549946,0.076663
5555,0.0550556,0.092001
5555,0.0551167,0.108703
5555,0.0551777,0.104815
5555,0.0552387,0.08628
5555,0.0552998,0.093704
5555,0.0553608,0.09713
5555,0.0554218,0.091911
5555,0.0554829,0.079448
5555,0.0555439,0.088795
5555,0.0556049,0.081291
5555,0.055666,0.089316
5555,0.055727,0.083695
5555,0.055788,0.092502
5555,0.0558491,0.076102
5555,0.0559101,0.108963
5555,0.0559711,0.088615
5555,0.0560322,0.08644
5555,0.0560932,0.101188
5555,0.0561543,0.095328
5555,0.0562153,0.09113
5555,0.0562763,0.124952
5555,0.0563374,0.079738
5555,0.0563984,0.086411
5555,0.0564594,0.079718
5555,0.0565205,0.08071
5555,0.0565815,0.090709
5555,0.0566425,0.083966
5555,0.0567036,0.093755
5555,0.0567646,0.088825
5555,0.0568256,0.08066
5555,0.0568867,0.082213
5555,0.0569477,0.088224
5555,0.0570087,0.200884
5555,0.0570698,0.095662
5555,0.0571308,0.096609
5555,0.0571918,0.089677
5555,0.0572529,0.084517
5555,0.0573139,0.080981
5555,0.057375,0.092321
5555,0.057436,0.103673
5555,0.057497,0.087102
5555,0.0575581,0.08777
5555,0.0576191,0.097922
5555,0.0576801,0.095568
5555,0.0577412,0.105877
5555,0.0578022,0.134588
5555,0.0578632,0.129618
5555,0.0579243,0.109303
5555,0.0579853,0.084317
5555,0.0580463,0.088545
5555,0.0581074,0.090058
5555,0.0581684,0.085569
5555,0.0582294,0.115766
5555,0.0582905,0.086561
5555,0.0583515,0.083315
5555,0.0584126,0.084077
5555,0.0584736,0.088935
5555,0.0585346,0.073807
5555,0.0585957,0.072695
5555,0.0586567,0.076382
5555,0.0587177,0.086201
5555,0.0587788,0.087563
5555,0.0588398,0.103082
5555,0.0589008,0.082373
5555,0.0589619,0.113257
5555,0.0590229,0.09671
5555,0.0590839,0.082733
5555,0.059145,0.0967
5555,0.059206,0.088204
5555,0.059267,0.0915
5555,0.0593281,0.090268
5555,0.0593891,0.097298
5555,0.0594501,0.081982
5555,0.0595112,0.110706
5555,0.0595722,0.155847
5555,0.0596333,0.105193
5555,0.0596943,0.078446
5555,0.0597553,0.087573
5555,0.0598164,0.086371
5555,0.0598774,0.088534
5555,0.0599384,0.094796
5555,0.0599995,0.117959
5555,0.0600605,0.09185
5555,0.0601215,0.080199
5555,0.0601826,0.086311
5555,0.0602436,0.09121
5555,0.0603046,0.098533
5555,0.0603657,0.092161
5555,0.0604267,0.09683
5555,0.0604877,0.086381
5555,0.0605488,0.086491
5555,0.0606098,0.094796
5555,0.0606709,0.082794
5555,0.0607319,0.083405
5555,0.0607929,0.08961
5555,0.060854,0.094877
5555,0.060915,0.083966
