Size_Bytes,Time_Seconds
324594626,0.210288
325669443,0.114996
326744260,0.177427
327819076,0.195798
328893893,0.181962
329968710,0.180308
331043526,0.15154
332118343,0.327123
333193159,0.241349
334267976,0.180175
335342793,0.141483
336417609,0.122411
337492426,0.155241
338567243,0.189609
339642059,0.212863
340716876,0.258275
341791693,0.181373
342866509,0.161451
343941326,0.21097
345016143,0.237189
346090959,0.22951
347165776,0.17648
348240592,0.220006
349315409,0.197886
350390226,0.184449
351465042,0.156615
352539859,0.135036
353614676,0.184579
354689492,0.184801
355764309,0.162274
356839126,0.239224
357913942,0.237117
358988759,0.17325
360063575,0.182721
361138392,0.238044
362213209,0.298383
363288025,0.208446
364362842,0.176504
365437659,0.226373
366512475,0.173986
367587292,0.244012
368662109,0.171324
369736925,0.190373
370811742,0.211243
371886558,0.178809
372961375,0.218089
374036192,0.197116
375111008,0.154844
376185825,0.184165
377260642,0.23197
378335458,0.22131
379410275,0.262837
380485092,0.161618
381559908,0.185377
382634725,0.208659
383709541,0.1743
384784358,0.200261
385859175,0.222134
386933991,0.276244
388008808,0.21604
389083625,0.265857
390158441,0.390889
391233258,0.165533
392308075,0.218389
393382891,0.180764
394457708,0.230559
395532525,0.260982
396607341,0.202584
397682158,0.197157
398756974,0.178302
399831791,0.204993
400906608,0.252832
401981424,0.203905
403056241,0.215106
404131058,0.215012
405205874,0.26261
406280691,0.351814
407355508,0.213467
408430324,0.171481
409505141,0.203833
410579957,0.241967
411654774,0.294975
412729591,0.260811
413804407,0.348081
414879224,0.303318
415954041,0.3196
417028857,0.230367
418103674,0.249798
419178491,0.27501
420253307,0.269611
421328124,0.262161
422402940,0.23223
423477757,0.222836
424552574,0.268117
425627390,0.241569
426702207,0.311204
427777024,0.334533
428851840,0.267402
429926657,0.248077
431001474,0.240332
432076290,0.262886
433151107,0.240453
434225924,0.299666
435300740,0.271898
436375557,0.222611
437450373,0.230427
438525190,0.211084
439600007,0.2636
440674823,0.256161
441749640,0.253844
442824457,0.247434
443899273,0.224792
444974090,0.259354
446048907,0.23
447123723,0.322964
448198540,0.204373
449273356,0.251569
450348173,0.308854
451422990,0.238598
452497806,0.276686
453572623,0.298417
454647440,0.265602
455722256,0.247424
456797073,0.304327
457871890,0.197077
458946706,0.262242
460021523,0.331741
461096339,0.25891
462171156,0.289402
463245973,0.362354
464320789,0.237891
